times,scores
2020-03-14 04:08:19,0.73
2020-03-19 17:01:18,0.534
2020-03-21 17:47:59,0.791
2020-03-22 16:33:24,0.641
2020-03-23 14:34:20,0.489
2020-03-24 04:30:32,0.794
2020-03-28 22:37:41,1.0
2020-03-29 18:37:50,0.848
2020-03-30 10:26:35,0.848
2020-03-30 12:58:15,1.0
2020-03-30 13:04:03,1.0
2020-03-30 13:07:21,0.777
2020-03-30 13:15:32,0.711
2020-03-30 13:17:46,0.839
2020-03-30 16:49:59,0.475
2020-03-30 18:04:02,1.0
2020-03-31 21:55:33,0.792
2020-04-13 05:00:26,0.672
2020-04-13 07:38:06,0.798
2020-04-13 12:43:36,0.569
2020-04-14 16:45:17,1.0
2020-04-15 14:31:13,1.0
2020-04-16 04:39:39,1.0
2020-04-17 10:47:10,0.366
2020-04-18 01:15:59,0.701
2020-04-21 01:37:11,0.518
2020-04-26 00:39:11,0.792
2020-04-27 04:35:28,1.0
2020-04-27 07:40:34,0.684
2020-04-27 22:32:02,0.84
2020-04-28 17:41:37,0.641
2020-04-28 18:10:51,0.641
2020-05-03 17:22:07,0.687
2020-05-06 03:37:51,1.0
2020-05-06 10:29:30,0.172
2020-05-06 10:39:12,0.172
2020-05-07 09:37:02,0.79
2020-05-08 13:02:40,0.485
2020-05-08 14:40:35,0.585
2020-05-13 01:07:51,1.0
2020-05-13 01:23:25,0.441
2020-05-13 01:25:30,0.441
2020-05-13 15:08:07,0.75
2020-05-14 06:07:11,0.546
2020-05-15 02:30:17,0.757
2020-05-18 14:13:51,0.673
2020-05-20 19:30:39,1.0
2020-05-20 19:35:01,1.0
2020-05-23 13:07:54,0.879
2020-05-23 13:18:21,0.379
2020-05-23 15:10:16,1.0
2020-05-23 15:28:38,0.814
2020-05-23 16:02:49,1.0
2020-05-23 16:56:07,0.455
2020-05-26 01:21:46,0.619
2020-05-26 02:37:00,0.878
2020-05-26 02:42:32,0.603
2020-05-26 03:21:02,0.792
2020-05-26 04:01:09,0.73
2020-05-26 04:03:51,0.73
2020-05-26 04:05:54,0.792
2020-05-26 04:19:35,0.608
2020-05-26 04:20:05,0.73
2020-05-26 04:53:25,0.73
2020-05-26 05:16:46,0.608
2020-05-26 05:37:51,0.722
2020-05-29 09:38:45,0.753
2020-05-30 00:56:49,0.769
2020-05-30 01:02:17,0.753
2020-05-30 01:10:57,0.508
2020-05-30 01:11:11,0.641
2020-05-30 02:34:57,0.779
2020-05-30 02:42:54,1.0
2020-05-30 03:23:15,0.753
2020-05-30 05:16:17,0.753
2020-05-31 17:08:17,0.618
2020-06-03 06:39:52,0.632
2020-06-04 00:21:19,0.719
2020-06-06 18:43:26,0.795
2020-06-06 20:55:21,0.449
2020-06-07 01:10:06,0.556
2020-06-07 01:36:52,1.0
2020-06-07 01:39:40,1.0
2020-06-07 01:41:25,1.0
2020-06-07 01:44:43,1.0
2020-06-07 02:45:30,1.0
2020-06-07 07:29:52,0.623
2020-06-07 07:33:41,0.623
2020-06-07 08:56:48,0.738
2020-06-07 09:02:22,0.738
2020-06-07 09:15:42,0.623
2020-06-07 09:30:12,0.795
2020-06-07 12:51:42,0.526
2020-06-13 10:20:14,0.66
2020-06-14 20:26:19,0.769
2020-06-15 11:05:07,0.796
2020-06-15 20:18:28,0.83
2020-06-19 01:08:38,0.567
2020-06-19 10:46:52,0.513
2020-06-19 12:21:55,0.513
2020-06-19 13:10:20,1.0
2020-06-19 13:49:53,0.513
2020-06-19 14:19:59,1.0
2020-06-20 05:51:59,0.719
2020-06-20 14:53:03,0.732
2020-06-20 17:08:31,0.57
2020-06-20 17:46:14,0.846
2020-06-22 11:24:50,0.561
2020-06-22 11:26:31,1.0
2020-06-23 11:03:29,0.763
2020-06-30 21:04:07,0.553
2020-06-30 21:45:36,0.553
2020-07-01 06:15:43,0.553
2020-07-01 08:21:54,0.518
2020-07-01 21:23:18,0.688
2020-07-02 19:42:24,1.0
2020-07-02 22:18:10,0.743
2020-07-03 07:26:39,0.743
2020-07-03 08:23:57,1.0
2020-07-03 08:43:13,0.743
2020-07-04 21:53:00,0.621
2020-07-05 01:41:11,0.553
2020-07-05 21:41:47,0.671
2020-07-06 01:05:16,0.625
2020-07-10 03:54:10,1.0
2020-07-12 08:06:11,0.759
2020-07-15 10:15:59,1.0
2020-07-15 16:32:07,0.871
2020-07-15 17:58:17,0.913
2020-07-17 02:46:04,1.0
2020-07-17 03:28:28,1.0
2020-07-17 03:43:39,0.631
2020-07-17 03:53:52,0.631
2020-07-17 04:09:09,1.0
2020-07-17 05:30:36,1.0
2020-07-21 15:46:17,0.828
2020-07-22 08:49:45,0.545
2020-07-22 22:45:15,0.741
2020-07-23 00:12:58,1.0
2020-07-23 05:49:51,0.848
2020-07-23 06:22:46,0.769
2020-07-23 12:12:40,1.0
2020-07-23 12:16:20,1.0
2020-07-23 12:21:47,1.0
2020-07-23 12:24:19,1.0
2020-07-23 13:30:38,0.882
2020-07-23 20:46:19,0.882
2020-07-24 02:55:23,0.714
2020-07-24 04:20:53,0.714
2020-07-25 17:30:02,0.652
2020-07-26 12:15:39,0.556
2020-07-29 13:15:19,0.435
2020-08-01 23:32:36,0.645
2020-08-01 23:39:56,0.645
2020-08-02 01:08:47,0.568
2020-08-03 19:04:57,1.0
2020-08-03 19:48:46,0.647
2020-08-03 22:32:36,0.647
2020-08-05 14:58:39,1.0
2020-08-05 15:02:15,1.0
2020-08-05 15:04:29,0.785
2020-08-05 15:06:15,0.769
2020-08-05 15:08:43,0.785
2020-08-05 15:09:31,0.769
2020-08-05 15:10:45,0.769
2020-08-05 15:14:48,0.463
2020-08-05 15:52:13,0.734
2020-08-05 15:52:58,0.734
